,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Quantity
424,425,66.0,Male,Sweater,Clothing,23,Illinois,M,Gold,Winter,4.3,Yes,Standard,Yes,Yes,42.0,PayPal,Fortnightly,1
425,426,40.0,Male,Jeans,Clothing,87,North Dakota,S,Teal,Winter,3.3,Yes,Store Pickup,Yes,Yes,4.0,Credit Card,Quarterly,2
426,427,43.0,Male,Pants,Clothing,71,Louisiana,M,Violet,Winter,4.7,Yes,Express,Yes,Yes,19.0,Credit Card,Quarterly,1
427,428,58.0,Male,Backpack,Accessories,91,Illinois,L,Black,Winter,4.5,Yes,Store Pickup,Yes,Yes,6.0,Credit Card,Quarterly,3
428,429,21.0,Male,Coat,Outerwear,64,Wyoming,XL,Gold,Winter,2.9,Yes,Free Shipping,Yes,Yes,2.0,Debit Card,Fortnightly,4
429,430,,Male,Sandals,Footwear,94,Washington,M,Gold,Winter,,Yes,,Yes,Yes,,Cash,,4
430,431,,Male,Shirt,Clothing,40,Texas,M,Brown,Summer,3.5,Yes,Store Pickup,Yes,Yes,40.0,Debit Card,,4
431,432,43.0,Male,Hat,Accessories,76,New Hampshire,L,Cyan,Winter,3.4,Yes,Store Pickup,Yes,Yes,33.0,Cash,Fortnightly,2
432,433,,Male,Shirt,Clothing,86,Indiana,S,Indigo,Fall,,Yes,,Yes,Yes,,Venmo,,4
433,434,49.0,Male,Skirt,Clothing,92,Alabama,M,Orange,Fall,3.2,Yes,Store Pickup,Yes,Yes,23.0,Credit Card,,4
434,435,50.0,Male,Shoes,Footwear,52,Oklahoma,L,Pink,Spring,4.0,Yes,Store Pickup,Yes,Yes,39.0,PayPal,Every 3 Months,1
435,436,51.0,Male,Coat,Outerwear,28,Montana,XL,Olive,Winter,3.6,Yes,Next Day Air,Yes,Yes,42.0,Bank Transfer,Monthly,3
436,437,,Male,Pants,Clothing,46,Tennessee,L,Cyan,Summer,4.6,Yes,Free Shipping,Yes,Yes,41.0,Bank Transfer,,3
437,438,45.0,Male,Jewelry,Accessories,50,New Mexico,M,Peach,Summer,2.6,Yes,Next Day Air,Yes,Yes,41.0,PayPal,Annually,3
438,439,,Male,Belt,Accessories,23,Iowa,M,Turquoise,Winter,,Yes,,Yes,Yes,,Credit Card,,3
439,440,,Male,Jacket,Outerwear,50,Idaho,M,Turquoise,Summer,,Yes,,Yes,Yes,,Cash,,3
440,441,20.0,Male,Shirt,Clothing,89,Oklahoma,XL,Maroon,Winter,3.5,Yes,Store Pickup,Yes,Yes,34.0,Debit Card,Fortnightly,4
441,442,43.0,Male,Hoodie,Clothing,81,Florida,M,Maroon,Winter,4.2,Yes,Standard,Yes,Yes,32.0,Credit Card,Annually,4
442,443,,Male,Sunglasses,Accessories,69,Michigan,M,Olive,Fall,3.5,Yes,Store Pickup,Yes,Yes,31.0,Credit Card,,2
443,444,,Male,Sunglasses,Accessories,67,Hawaii,M,Magenta,Summer,,Yes,,Yes,Yes,,PayPal,,3
444,445,48.0,Male,Dress,Clothing,20,California,M,Red,Summer,4.3,Yes,Store Pickup,Yes,Yes,31.0,Debit Card,Annually,2
445,446,42.0,Male,Boots,Footwear,29,Iowa,M,Olive,Fall,4.9,Yes,Standard,Yes,Yes,18.0,Venmo,Annually,3
446,447,19.0,Male,Shirt,Clothing,74,West Virginia,M,Silver,Summer,4.1,Yes,Store Pickup,Yes,Yes,15.0,Venmo,Monthly,1
447,448,60.0,Male,Shorts,Clothing,82,Washington,S,Turquoise,Spring,3.6,Yes,Standard,Yes,Yes,7.0,Bank Transfer,Every 3 Months,2
448,449,32.0,Male,Gloves,Accessories,23,Missouri,M,Yellow,Summer,3.4,Yes,Next Day Air,Yes,Yes,35.0,Bank Transfer,Fortnightly,3
449,450,26.0,Male,Jewelry,Accessories,45,New York,L,Peach,Summer,2.9,Yes,2-Day Shipping,Yes,Yes,35.0,Bank Transfer,,3
450,451,,Male,Boots,Footwear,21,Connecticut,L,Beige,Summer,,Yes,Store Pickup,Yes,Yes,,Credit Card,,1
451,452,66.0,Male,Jewelry,Accessories,31,Virginia,M,Pink,Summer,4.3,Yes,Express,Yes,Yes,26.0,Credit Card,Fortnightly,4
452,453,45.0,Male,Pants,Clothing,45,Missouri,M,Violet,Summer,3.3,Yes,Express,Yes,Yes,39.0,PayPal,Fortnightly,1
453,454,54.0,Male,Jewelry,Accessories,56,Nebraska,XL,Peach,Winter,2.8,Yes,Next Day Air,Yes,Yes,22.0,Credit Card,Weekly,2
454,455,37.0,Male,Jacket,Outerwear,97,New Jersey,S,Gold,Summer,3.2,Yes,Next Day Air,Yes,Yes,14.0,Cash,Bi-Weekly,3
455,456,54.0,Male,Blouse,Clothing,100,Utah,XL,Gold,Fall,3.6,Yes,Store Pickup,Yes,Yes,50.0,Debit Card,Fortnightly,4
456,457,50.0,Male,Blouse,Clothing,96,North Carolina,S,Indigo,Fall,4.0,Yes,2-Day Shipping,Yes,Yes,33.0,Credit Card,Quarterly,1
457,458,,Male,Gloves,Accessories,99,Rhode Island,M,Blue,Spring,,Yes,,Yes,Yes,,Debit Card,,2
458,459,47.0,Male,Shorts,Clothing,91,Arkansas,L,Black,Winter,4.0,Yes,2-Day Shipping,Yes,Yes,48.0,PayPal,Monthly,1
459,460,63.0,Male,Hat,Accessories,30,Maryland,L,Black,Winter,3.8,Yes,Standard,Yes,Yes,27.0,PayPal,Fortnightly,3
460,461,64.0,Male,Shoes,Footwear,65,South Carolina,L,Teal,Summer,3.7,Yes,Store Pickup,Yes,Yes,27.0,Bank Transfer,Weekly,1
461,462,,Male,Boots,Footwear,93,Ohio,M,Yellow,Winter,,Yes,,Yes,Yes,,Venmo,,1
462,463,59.0,Male,Jacket,Outerwear,81,Illinois,M,White,Fall,3.3,Yes,Express,Yes,Yes,48.0,Venmo,Every 3 Months,1
463,464,,Male,Jewelry,Accessories,81,Georgia,S,Orange,Summer,,Yes,,Yes,Yes,,Venmo,,2
464,465,23.0,Male,Sunglasses,Accessories,52,Alabama,M,Silver,Winter,4.7,Yes,Next Day Air,Yes,Yes,45.0,PayPal,Monthly,4
465,466,,Male,Skirt,Clothing,88,Oklahoma,M,Pink,Summer,,Yes,,Yes,Yes,,Cash,,3
466,467,38.0,Male,Jeans,Clothing,24,Vermont,L,Turquoise,Winter,4.6,Yes,Free Shipping,Yes,Yes,25.0,PayPal,Weekly,1
467,468,19.0,Male,Backpack,Accessories,51,Nebraska,S,Orange,Spring,4.5,Yes,2-Day Shipping,Yes,Yes,37.0,Debit Card,Every 3 Months,2
468,469,,Male,Backpack,Accessories,38,Georgia,S,Peach,Fall,5.0,Yes,Free Shipping,Yes,Yes,16.0,Cash,,2
469,470,21.0,Male,Shorts,Clothing,46,Alabama,L,Pink,Fall,4.1,Yes,2-Day Shipping,Yes,Yes,30.0,Debit Card,Bi-Weekly,4
470,471,50.0,Male,Dress,Clothing,63,Minnesota,L,Teal,Summer,4.6,Yes,Express,Yes,Yes,6.0,Cash,Every 3 Months,3
471,472,,Male,Scarf,Accessories,72,Missouri,XL,White,Winter,,Yes,,Yes,Yes,,Bank Transfer,,3
472,473,20.0,Male,Jeans,Clothing,39,Georgia,L,Gray,Winter,3.9,Yes,Free Shipping,Yes,Yes,3.0,Bank Transfer,Quarterly,1
473,474,34.0,Male,Coat,Outerwear,42,West Virginia,L,Olive,Spring,3.9,Yes,Store Pickup,Yes,Yes,29.0,PayPal,Every 3 Months,4
474,475,62.0,Male,Sweater,Clothing,76,Arkansas,XL,Maroon,Summer,2.6,Yes,2-Day Shipping,Yes,Yes,15.0,Cash,Quarterly,1
475,476,21.0,Male,Sneakers,Footwear,66,Ohio,L,Magenta,Summer,2.7,Yes,Free Shipping,Yes,Yes,18.0,Debit Card,Annually,1
476,477,21.0,Male,Scarf,Accessories,90,Connecticut,M,Magenta,Spring,3.5,Yes,Free Shipping,Yes,Yes,2.0,Debit Card,Fortnightly,4
477,478,42.0,Male,Sweater,Clothing,56,North Dakota,M,Green,Summer,3.7,Yes,Free Shipping,Yes,Yes,49.0,Debit Card,Weekly,4
478,479,,Male,Jewelry,Accessories,43,Kansas,XL,Turquoise,Winter,,Yes,,Yes,Yes,,Venmo,,2
479,480,,Male,Handbag,Accessories,84,Iowa,L,Yellow,Winter,3.3,Yes,Store Pickup,Yes,Yes,43.0,Venmo,,1
480,481,68.0,Male,Hoodie,Clothing,88,Vermont,M,Gray,Summer,4.8,Yes,Standard,Yes,Yes,30.0,Debit Card,Bi-Weekly,1
481,482,46.0,Male,Hat,Accessories,88,Wisconsin,L,Peach,Fall,3.2,Yes,2-Day Shipping,Yes,Yes,10.0,PayPal,Fortnightly,1
482,483,41.0,Male,Belt,Accessories,42,Connecticut,M,Yellow,Winter,2.5,Yes,2-Day Shipping,Yes,Yes,11.0,Venmo,Annually,3
483,484,23.0,Male,Hoodie,Clothing,73,Oklahoma,M,White,Fall,3.9,Yes,Store Pickup,Yes,Yes,12.0,Debit Card,Weekly,1
484,485,68.0,Male,Hat,Accessories,73,Missouri,L,Lavender,Summer,4.7,Yes,Free Shipping,Yes,Yes,28.0,Bank Transfer,Quarterly,2
485,486,48.0,Male,Shoes,Footwear,44,Tennessee,S,Blue,Spring,2.6,Yes,Next Day Air,Yes,Yes,36.0,Debit Card,,4
486,487,,Male,Sandals,Footwear,63,New Mexico,M,Charcoal,Fall,,Yes,,Yes,Yes,,Venmo,,2
487,488,41.0,Male,Jacket,Outerwear,68,Iowa,L,Red,Winter,4.4,Yes,Store Pickup,Yes,Yes,22.0,Credit Card,Quarterly,3
488,489,58.0,Male,Sweater,Clothing,29,Maine,L,Olive,Spring,4.6,Yes,Standard,Yes,Yes,32.0,Venmo,Weekly,3
489,490,49.0,Male,Socks,Clothing,85,South Dakota,M,Green,Summer,3.2,Yes,Standard,Yes,Yes,40.0,PayPal,Annually,2
490,491,,Male,Sneakers,Footwear,42,Colorado,M,Silver,Winter,,Yes,,Yes,Yes,,Cash,,4
491,492,49.0,Male,Coat,Outerwear,69,Vermont,M,Silver,Summer,3.7,Yes,2-Day Shipping,Yes,Yes,24.0,Credit Card,Bi-Weekly,4
492,493,50.0,Male,Shirt,Clothing,62,Michigan,M,Black,Fall,3.9,Yes,Standard,Yes,Yes,11.0,Debit Card,Weekly,3
493,494,28.0,Male,Backpack,Accessories,48,Nevada,XL,Red,Summer,4.7,Yes,Store Pickup,Yes,Yes,19.0,Cash,Bi-Weekly,1
494,495,38.0,Male,Boots,Footwear,68,Indiana,M,Indigo,Winter,4.5,Yes,Express,Yes,Yes,42.0,Debit Card,Weekly,3
495,496,,Male,Handbag,Accessories,36,Michigan,XL,Cyan,Fall,,Yes,,Yes,Yes,,Debit Card,,1
496,497,30.0,Male,Dress,Clothing,63,California,S,Maroon,Fall,3.3,Yes,Express,Yes,Yes,31.0,Venmo,Fortnightly,1
497,498,43.0,Male,Sneakers,Footwear,39,Oklahoma,S,Silver,Winter,4.6,Yes,Free Shipping,Yes,Yes,31.0,Cash,Weekly,3
498,499,43.0,Male,Boots,Footwear,78,Iowa,M,Lavender,Spring,3.6,Yes,Free Shipping,Yes,Yes,27.0,Bank Transfer,Monthly,2
499,500,36.0,Male,Shoes,Footwear,99,Rhode Island,L,Silver,Winter,4.8,Yes,Express,Yes,Yes,24.0,PayPal,Monthly,1
500,501,,Male,T-shirt,Clothing,31,Washington,L,Purple,Fall,4.8,Yes,Next Day Air,Yes,Yes,35.0,Venmo,,1
501,502,,Male,Boots,Footwear,45,Florida,M,Cyan,Spring,,Yes,,Yes,Yes,,Venmo,,2
502,503,59.0,Male,Pants,Clothing,30,South Carolina,S,Cyan,Fall,2.8,Yes,Express,Yes,Yes,8.0,PayPal,Fortnightly,3
503,504,55.0,Male,Shoes,Footwear,24,West Virginia,M,Lavender,Summer,3.2,Yes,Next Day Air,Yes,Yes,26.0,Bank Transfer,Quarterly,2
504,505,42.0,Male,Shoes,Footwear,22,Missouri,M,Maroon,Winter,3.9,Yes,Free Shipping,Yes,Yes,26.0,PayPal,Annually,2
505,506,61.0,Male,T-shirt,Clothing,63,Maine,L,Gray,Spring,4.3,Yes,Express,Yes,Yes,9.0,Cash,,4
506,507,,Male,Scarf,Accessories,40,Georgia,M,Olive,Fall,2.7,Yes,2-Day Shipping,Yes,Yes,48.0,Debit Card,,4
507,508,65.0,Male,Shorts,Clothing,20,Maine,M,Magenta,Spring,5.0,Yes,Store Pickup,Yes,Yes,33.0,Debit Card,,4
508,509,27.0,Male,Jewelry,Accessories,20,Illinois,S,Yellow,Winter,3.7,Yes,Store Pickup,Yes,Yes,31.0,PayPal,Quarterly,2
509,510,41.0,Male,T-shirt,Clothing,80,Delaware,L,Cyan,Summer,3.9,Yes,Free Shipping,Yes,Yes,17.0,Debit Card,Weekly,1
510,511,21.0,Male,Shirt,Clothing,87,West Virginia,M,Teal,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,22.0,Venmo,Annually,3
511,512,,Male,Shirt,Clothing,46,Hawaii,L,Yellow,Fall,,Yes,,Yes,Yes,,PayPal,,4
512,513,19.0,Male,Gloves,Accessories,49,New York,L,Peach,Winter,3.3,Yes,Next Day Air,Yes,Yes,2.0,Bank Transfer,Monthly,2
513,514,22.0,Male,Scarf,Accessories,65,New Mexico,M,Peach,Fall,3.6,Yes,Store Pickup,Yes,Yes,45.0,Venmo,Annually,1
514,515,64.0,Male,Skirt,Clothing,62,Indiana,S,Olive,Winter,4.3,Yes,Standard,Yes,Yes,47.0,PayPal,Quarterly,2
515,516,28.0,Male,Hat,Accessories,67,Kentucky,L,Charcoal,Spring,4.5,Yes,Next Day Air,Yes,Yes,7.0,Cash,Monthly,3
516,517,34.0,Male,Hoodie,Clothing,41,West Virginia,L,Indigo,Fall,2.8,Yes,2-Day Shipping,Yes,Yes,19.0,Debit Card,Bi-Weekly,3
517,518,61.0,Male,Boots,Footwear,49,North Dakota,L,Silver,Fall,2.7,Yes,Free Shipping,Yes,Yes,44.0,Cash,Every 3 Months,3
518,519,24.0,Male,Blouse,Clothing,100,Oregon,M,Beige,Fall,2.9,Yes,Next Day Air,Yes,Yes,16.0,Venmo,Every 3 Months,2
519,520,19.0,Male,Belt,Accessories,54,Minnesota,L,Blue,Summer,4.4,Yes,2-Day Shipping,Yes,Yes,17.0,Bank Transfer,Quarterly,2
520,521,51.0,Male,Sunglasses,Accessories,84,South Carolina,M,White,Spring,3.9,Yes,Free Shipping,Yes,Yes,20.0,Debit Card,Quarterly,1
521,522,36.0,Male,Shorts,Clothing,41,Vermont,L,Gold,Winter,3.5,Yes,Standard,Yes,Yes,50.0,Bank Transfer,Annually,3
522,523,65.0,Male,Gloves,Accessories,88,Minnesota,M,Blue,Spring,2.5,Yes,Store Pickup,Yes,Yes,37.0,Cash,Quarterly,3
523,524,46.0,Male,Sandals,Footwear,40,Delaware,M,Orange,Spring,4.9,Yes,Express,Yes,Yes,5.0,PayPal,Quarterly,4
524,525,59.0,Male,Shirt,Clothing,39,Pennsylvania,M,Gold,Summer,4.8,Yes,Free Shipping,Yes,Yes,44.0,PayPal,Annually,1
525,526,51.0,Male,Coat,Outerwear,37,Iowa,M,Cyan,Spring,3.2,Yes,Next Day Air,Yes,Yes,41.0,Debit Card,Monthly,3
526,527,51.0,Male,Pants,Clothing,52,New Jersey,S,Red,Winter,4.9,Yes,Standard,Yes,Yes,19.0,Cash,Monthly,2
527,528,,Male,T-shirt,Clothing,23,South Carolina,L,Yellow,Winter,,Yes,,Yes,Yes,,Bank Transfer,,2
528,529,34.0,Male,Sneakers,Footwear,88,Maryland,S,Beige,Winter,3.2,Yes,Express,Yes,Yes,40.0,Cash,,4
529,530,32.0,Male,Shorts,Clothing,84,California,M,Orange,Fall,3.7,Yes,Standard,Yes,Yes,6.0,Credit Card,Monthly,4
530,531,48.0,Male,Coat,Outerwear,37,Montana,XL,Magenta,Winter,3.2,Yes,Store Pickup,Yes,Yes,25.0,Credit Card,Bi-Weekly,3
531,532,50.0,Male,Sandals,Footwear,51,Vermont,L,Purple,Fall,3.4,Yes,Next Day Air,Yes,Yes,42.0,Cash,Weekly,2
532,533,26.0,Male,Pants,Clothing,76,Texas,L,Black,Winter,4.1,Yes,Express,Yes,Yes,35.0,Bank Transfer,,2
533,534,57.0,Male,Sandals,Footwear,60,North Carolina,L,Pink,Spring,4.5,Yes,Next Day Air,Yes,Yes,17.0,Debit Card,Weekly,1
534,535,,Male,Gloves,Accessories,72,Florida,L,Pink,Fall,,Yes,,Yes,Yes,,PayPal,,1
535,536,56.0,Male,T-shirt,Clothing,45,West Virginia,L,Maroon,Spring,3.2,Yes,Free Shipping,Yes,Yes,24.0,Bank Transfer,Weekly,1
536,537,44.0,Male,Jacket,Outerwear,84,Illinois,S,Maroon,Fall,4.4,Yes,Store Pickup,Yes,Yes,16.0,Debit Card,Every 3 Months,4
537,538,50.0,Male,Blouse,Clothing,49,Virginia,S,Turquoise,Summer,3.0,Yes,Store Pickup,Yes,Yes,14.0,Debit Card,Annually,3
538,539,,Male,Socks,Clothing,22,Virginia,XL,Green,Spring,,Yes,,Yes,Yes,,Cash,,2
539,540,49.0,Male,Coat,Outerwear,48,Wyoming,M,Violet,Winter,4.0,Yes,Store Pickup,Yes,Yes,49.0,Debit Card,Weekly,2
540,541,49.0,Male,Dress,Clothing,37,South Carolina,M,Lavender,Spring,3.1,Yes,Next Day Air,Yes,Yes,33.0,Cash,Every 3 Months,1
541,542,52.0,Male,Jacket,Outerwear,27,Connecticut,L,Gray,Fall,2.8,Yes,Next Day Air,Yes,Yes,45.0,Cash,Bi-Weekly,4
542,543,27.0,Male,Boots,Footwear,79,Illinois,XL,Teal,Spring,4.6,Yes,Next Day Air,Yes,Yes,35.0,Cash,Bi-Weekly,2
543,544,53.0,Male,Skirt,Clothing,98,Alabama,S,Red,Spring,4.3,Yes,Express,Yes,Yes,11.0,Credit Card,,3
544,545,,Male,Sandals,Footwear,64,Washington,S,Yellow,Summer,,Yes,,Yes,Yes,,Bank Transfer,,2
545,546,33.0,Male,Coat,Outerwear,32,Alabama,L,Magenta,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,48.0,Debit Card,Annually,1
546,547,62.0,Male,Hoodie,Clothing,74,New Mexico,M,Brown,Winter,3.4,Yes,Free Shipping,Yes,Yes,45.0,Venmo,Bi-Weekly,4
547,548,38.0,Male,Jacket,Outerwear,50,Nevada,M,Blue,Winter,2.8,Yes,Free Shipping,Yes,Yes,26.0,Venmo,Weekly,3
548,549,36.0,Male,Backpack,Accessories,64,Nebraska,M,Black,Winter,4.6,Yes,Store Pickup,Yes,Yes,41.0,Debit Card,Every 3 Months,2
549,550,,Male,Backpack,Accessories,29,Arizona,S,Olive,Fall,3.6,Yes,Express,Yes,Yes,37.0,Venmo,,3
550,551,62.0,Male,Belt,Accessories,62,Georgia,M,Olive,Summer,3.3,Yes,Store Pickup,Yes,Yes,12.0,PayPal,Weekly,2
551,552,,Male,Coat,Outerwear,78,Idaho,XL,Green,Fall,,Yes,,Yes,Yes,,Cash,,4
552,553,24.0,Male,T-shirt,Clothing,94,Missouri,M,Peach,Fall,3.5,Yes,Express,Yes,Yes,18.0,Bank Transfer,Weekly,1
553,554,63.0,Male,Sunglasses,Accessories,59,Florida,M,White,Winter,3.2,Yes,Express,Yes,Yes,15.0,Credit Card,Quarterly,4
554,555,,Male,Sneakers,Footwear,47,Minnesota,M,Red,Summer,3.0,Yes,Express,Yes,Yes,34.0,Bank Transfer,,3
555,556,,Male,Gloves,Accessories,57,Maine,M,White,Fall,,Yes,,Yes,Yes,,Venmo,,3
556,557,40.0,Male,Coat,Outerwear,90,Montana,L,Indigo,Winter,5.0,Yes,Store Pickup,Yes,Yes,21.0,Cash,Fortnightly,3
557,558,,Male,Shirt,Clothing,60,Alaska,M,White,Spring,2.9,Yes,Free Shipping,Yes,Yes,31.0,Debit Card,,1
558,559,50.0,Male,Sneakers,Footwear,77,Iowa,L,Teal,Fall,3.2,Yes,Express,Yes,Yes,43.0,Debit Card,Every 3 Months,1
559,560,66.0,Male,Scarf,Accessories,41,Arizona,M,Indigo,Fall,2.9,Yes,Store Pickup,Yes,Yes,22.0,Bank Transfer,Monthly,3
560,561,25.0,Male,Jewelry,Accessories,48,Louisiana,L,Red,Fall,3.3,Yes,Free Shipping,Yes,Yes,12.0,Debit Card,Annually,4
561,562,,Male,Jacket,Outerwear,65,Alabama,M,Blue,Fall,2.6,Yes,Next Day Air,Yes,Yes,25.0,PayPal,,2
562,563,53.0,Male,Jeans,Clothing,62,Missouri,M,Blue,Summer,3.5,Yes,Standard,Yes,Yes,40.0,Debit Card,Annually,1
563,564,61.0,Male,Shoes,Footwear,99,Idaho,M,Black,Fall,4.4,Yes,Standard,Yes,Yes,16.0,Debit Card,Quarterly,4
564,565,,Male,Hoodie,Clothing,58,Florida,M,Olive,Winter,,Yes,,Yes,Yes,,Bank Transfer,,1
565,566,59.0,Male,Backpack,Accessories,43,Idaho,L,Lavender,Fall,4.2,Yes,Store Pickup,Yes,Yes,10.0,Venmo,Weekly,4
566,567,55.0,Male,Sneakers,Footwear,93,Alabama,M,Indigo,Spring,3.6,Yes,Store Pickup,Yes,Yes,1.0,Debit Card,Fortnightly,4
567,568,,Male,Blouse,Clothing,50,New Hampshire,S,Red,Winter,,Yes,,Yes,Yes,,Venmo,,1
568,569,,Male,Pants,Clothing,88,Utah,L,Red,Summer,,Yes,,Yes,Yes,,PayPal,,1
569,570,65.0,Male,Skirt,Clothing,33,Alabama,M,Pink,Fall,4.4,Yes,Express,Yes,Yes,46.0,Credit Card,Every 3 Months,4
570,571,65.0,Male,T-shirt,Clothing,99,Iowa,XL,Purple,Fall,4.1,Yes,Standard,Yes,Yes,20.0,Cash,,1
571,572,54.0,Male,Jacket,Outerwear,76,Kentucky,XL,Cyan,Spring,3.6,Yes,Free Shipping,Yes,Yes,37.0,Venmo,Weekly,4
572,573,56.0,Male,Scarf,Accessories,97,South Carolina,XL,Cyan,Summer,4.6,Yes,Next Day Air,Yes,Yes,26.0,Bank Transfer,,2
573,574,,Male,Pants,Clothing,68,California,M,Charcoal,Summer,,Yes,,Yes,Yes,,Credit Card,,1
574,575,54.0,Male,Sneakers,Footwear,79,Maine,L,Red,Fall,4.8,Yes,Free Shipping,Yes,Yes,20.0,Bank Transfer,Bi-Weekly,4
575,576,58.0,Male,Jeans,Clothing,86,Nebraska,M,Peach,Fall,4.8,Yes,Express,Yes,Yes,38.0,PayPal,Monthly,1
576,577,48.0,Male,Hat,Accessories,68,Washington,M,Black,Winter,5.0,Yes,2-Day Shipping,Yes,Yes,5.0,Credit Card,,3
577,578,19.0,Male,Skirt,Clothing,52,Alabama,M,Black,Fall,3.7,Yes,Store Pickup,Yes,Yes,41.0,Venmo,Annually,4
578,579,,Male,Sandals,Footwear,90,Maine,M,Purple,Fall,4.6,Yes,Next Day Air,Yes,Yes,22.0,Credit Card,,4
579,580,58.0,Male,Sandals,Footwear,41,California,M,Violet,Winter,3.7,Yes,Free Shipping,Yes,Yes,48.0,Credit Card,Annually,3
580,581,49.0,Male,Sweater,Clothing,80,Iowa,M,Orange,Spring,4.1,Yes,Free Shipping,Yes,Yes,10.0,PayPal,Weekly,1
581,582,32.0,Male,Sweater,Clothing,100,Iowa,XL,Charcoal,Winter,2.7,Yes,Store Pickup,Yes,Yes,12.0,Bank Transfer,Every 3 Months,4
582,583,40.0,Male,Jacket,Outerwear,77,Colorado,L,Turquoise,Spring,4.9,Yes,Store Pickup,Yes,Yes,2.0,Bank Transfer,Quarterly,2
583,584,25.0,Male,Shorts,Clothing,78,California,L,Yellow,Spring,4.0,Yes,Store Pickup,Yes,Yes,38.0,PayPal,Monthly,2
584,585,70.0,Male,Socks,Clothing,94,Indiana,M,White,Spring,4.7,Yes,Free Shipping,Yes,Yes,20.0,Debit Card,Monthly,2
585,586,69.0,Male,Socks,Clothing,23,South Carolina,M,Gray,Fall,2.8,Yes,Next Day Air,Yes,Yes,5.0,Cash,Every 3 Months,3
586,587,45.0,Male,Hoodie,Clothing,20,Wisconsin,S,Blue,Winter,4.9,Yes,2-Day Shipping,Yes,Yes,9.0,Venmo,Annually,1
587,588,29.0,Male,Socks,Clothing,86,Washington,S,Maroon,Fall,4.2,Yes,Express,Yes,Yes,48.0,Debit Card,Every 3 Months,3
588,589,47.0,Male,Boots,Footwear,60,South Dakota,M,Violet,Fall,3.0,Yes,Standard,Yes,Yes,9.0,Debit Card,Quarterly,3
589,590,28.0,Male,Shirt,Clothing,70,Minnesota,M,Orange,Fall,3.4,Yes,2-Day Shipping,Yes,Yes,40.0,PayPal,Annually,4
590,591,64.0,Male,Belt,Accessories,39,Alaska,S,Turquoise,Fall,4.6,Yes,Standard,Yes,Yes,30.0,Venmo,Fortnightly,2
591,592,47.0,Male,Backpack,Accessories,37,Kentucky,L,Olive,Fall,4.2,Yes,Store Pickup,Yes,Yes,6.0,Debit Card,Bi-Weekly,1
592,593,60.0,Male,Boots,Footwear,29,North Dakota,M,Brown,Fall,3.2,Yes,Free Shipping,Yes,Yes,42.0,Venmo,Every 3 Months,3
593,594,67.0,Male,Coat,Outerwear,35,Alaska,S,Green,Winter,4.4,Yes,Store Pickup,Yes,Yes,9.0,PayPal,Every 3 Months,1
594,595,,Male,Hoodie,Clothing,83,Oklahoma,S,Brown,Winter,,Yes,,Yes,Yes,,Debit Card,,3
595,596,30.0,Male,Shoes,Footwear,77,Delaware,M,Silver,Summer,3.6,Yes,Next Day Air,Yes,Yes,47.0,PayPal,Quarterly,3
596,597,23.0,Male,Shoes,Footwear,37,Montana,XL,White,Summer,4.5,Yes,Store Pickup,Yes,Yes,36.0,Venmo,,3
597,598,70.0,Male,Jewelry,Accessories,69,Alaska,L,Gold,Summer,3.4,Yes,Standard,Yes,Yes,19.0,Bank Transfer,Fortnightly,3
598,599,21.0,Male,Dress,Clothing,66,California,L,Green,Winter,3.2,Yes,2-Day Shipping,Yes,Yes,30.0,Cash,Every 3 Months,1
599,600,,Male,Boots,Footwear,26,Massachusetts,L,Teal,Spring,,Yes,,Yes,Yes,,Debit Card,,1
600,601,22.0,Male,Hat,Accessories,63,South Carolina,M,Charcoal,Spring,5.0,Yes,2-Day Shipping,Yes,Yes,25.0,Venmo,Monthly,1
601,602,32.0,Male,Backpack,Accessories,38,West Virginia,M,Maroon,Summer,4.7,Yes,Store Pickup,Yes,Yes,5.0,Cash,Fortnightly,2
602,603,,Male,Shoes,Footwear,58,Oregon,L,Lavender,Summer,4.2,Yes,Next Day Air,Yes,Yes,10.0,Cash,,2
603,604,31.0,Male,Handbag,Accessories,46,Massachusetts,L,Green,Winter,3.4,Yes,2-Day Shipping,Yes,Yes,26.0,PayPal,Every 3 Months,4
604,605,44.0,Male,Sunglasses,Accessories,92,West Virginia,S,Pink,Fall,4.4,Yes,Store Pickup,Yes,Yes,11.0,Credit Card,Every 3 Months,1
605,606,,Male,Hat,Accessories,32,California,XL,Charcoal,Winter,,Yes,,Yes,Yes,,Bank Transfer,,1
606,607,27.0,Male,Scarf,Accessories,90,Colorado,M,Blue,Spring,4.5,Yes,Standard,Yes,Yes,44.0,PayPal,Monthly,1
607,608,47.0,Male,Hoodie,Clothing,23,Indiana,L,Purple,Fall,2.8,Yes,Next Day Air,Yes,Yes,44.0,Cash,Monthly,3
608,609,41.0,Male,Backpack,Accessories,25,Delaware,S,Gold,Fall,3.3,Yes,Next Day Air,Yes,Yes,21.0,Venmo,Every 3 Months,4
609,610,51.0,Male,Sweater,Clothing,54,Ohio,L,Purple,Fall,4.6,Yes,Next Day Air,Yes,Yes,49.0,Credit Card,Fortnightly,3
