gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,study_hours,family_income,commute_time,absences
female,group D,high school,standard,completed,57,58,64,9,18277.0,70,6
female,group D,master's degree,free/reduced,completed,47,58,67,18,46857.0,130,5
female,group A,some high school,standard,completed,59,85,80,0,50024.0,9,6
male,group B,some college,free/reduced,none,41,39,34,4,29729.0,97,5
female,group C,some college,free/reduced,none,62,67,62,12,38823.0,88,5
male,group C,bachelor's degree,standard,none,86,83,86,3,11631.0,34,4
male,group C,some high school,free/reduced,none,69,71,65,15,10154.0,1,4
male,group A,some high school,free/reduced,none,65,59,53,15,41075.0,123,5
male,group C,some high school,free/reduced,none,68,63,54,1,20673.0,23,3
male,group C,associate's degree,free/reduced,none,64,66,59,16,32037.0,73,5
female,group C,high school,standard,none,61,72,70,19,15388.0,165,7
male,group C,high school,standard,none,61,56,55,11,50438.0,21,3
female,group A,some high school,free/reduced,none,47,59,50,17,10196.0,153,0
male,group C,some high school,standard,none,73,66,66,2,11017.0,170,5
male,group C,some college,free/reduced,completed,50,48,53,0,45350.0,38,4
male,group D,associate's degree,standard,none,75,68,64,0,5973.0,156,1
male,group D,associate's degree,free/reduced,none,75,66,73,18,26616.0,19,5
male,group C,high school,standard,none,70,56,51,10,20876.0,40,5
male,group D,some high school,standard,completed,89,88,82,4,15245.0,147,3
female,group C,some college,standard,completed,67,81,79,11,19931.0,107,1
female,group D,high school,standard,none,78,81,80,2,14418.0,146,5
female,group A,some high school,free/reduced,none,59,73,69,0,47626.0,83,11
female,group B,associate's degree,standard,none,73,83,76,0,54298.0,110,5
male,group A,some high school,free/reduced,none,79,82,73,7,15633.0,65,5
female,group C,some high school,standard,completed,67,74,77,9,505600.0,157,7
male,group D,some college,free/reduced,none,69,66,60,10,11356.0,52,4
male,group C,high school,standard,completed,86,81,80,11,37666.0,33,1
male,group B,high school,standard,none,47,46,42,12,37179.0,149,5
male,group B,associate's degree,standard,none,81,73,72,11,19003.0,66,7
female,group C,some college,free/reduced,completed,64,85,85,13,22213.0,133,3
female,group E,some college,standard,none,100,92,97,1,21018.0,26,3
female,group C,associate's degree,free/reduced,none,65,77,74,18,9806.0,9,9
male,group C,some college,free/reduced,none,65,58,49,17,47715.0,72,1
female,group C,associate's degree,free/reduced,none,53,61,62,2,15011.0,95,6
male,group C,bachelor's degree,free/reduced,none,37,56,47,16,15062.0,47,6
female,group D,bachelor's degree,standard,none,79,89,89,7,20431.0,69,5
male,group D,associate's degree,free/reduced,none,53,54,48,9,36235.0,99,4
female,group E,bachelor's degree,standard,none,100,100,100,1,16389.0,58,7
male,group B,high school,standard,completed,72,65,68,18,8299.0,1,7
male,group C,bachelor's degree,free/reduced,none,53,58,55,8,14136.0,156,6
male,group B,some college,free/reduced,none,54,54,45,6,27230.0,64,5
female,group E,some college,standard,none,71,70,76,3,65833.0,82,3
female,group C,some college,free/reduced,none,77,90,91,20,11732.0,153,5
male,group A,bachelor's degree,standard,completed,75,58,62,17,11519.0,9,3
female,group C,some college,standard,none,84,87,91,12,10339.0,52,1
female,group D,associate's degree,free/reduced,none,26,31,38,10,9717.0,78,2
male,group A,high school,free/reduced,completed,72,67,65,3,40249.0,58,6
female,group A,high school,free/reduced,completed,77,88,85,20,46506.0,149,4
male,group C,some college,standard,none,91,74,76,3,24074.0,178,9
female,group C,associate's degree,standard,completed,83,85,90,9,17433.0,47,4
female,group C,high school,standard,none,63,69,74,4,53937.0,148,6
female,group C,associate's degree,standard,completed,68,86,84,8,24027.0,122,8
female,group D,some high school,standard,none,59,67,61,2,37976.0,21,5
female,group B,associate's degree,standard,completed,90,90,91,16,17014.0,99,3
female,group D,bachelor's degree,standard,completed,71,76,83,2,22519.0,97,4
male,group E,bachelor's degree,standard,completed,76,62,66,15,11865.0,157,3
male,group D,associate's degree,standard,none,80,68,72,3,30171.0,24,6
female,group D,master's degree,standard,none,55,64,70,17,24233.0,27,6
male,group E,associate's degree,standard,none,76,71,67,16,14083.0,112,9
male,group B,high school,standard,completed,73,71,68,6,14178.0,44,5
female,group D,associate's degree,free/reduced,none,52,59,56,4,49414.0,67,5
male,group C,some college,free/reduced,none,68,68,61,11,59032.0,6,3
male,group A,high school,standard,none,59,52,46,16,19800.0,48,8
female,group B,associate's degree,standard,none,49,52,54,12,22785.0,136,6
male,group C,high school,standard,none,70,74,71,2,26905.0,163,5
male,group D,some college,free/reduced,none,61,47,56,8,23719.0,82,1
female,group C,associate's degree,free/reduced,none,60,75,74,16,9536.0,128,3
male,group B,some high school,standard,completed,64,53,57,16,27281.0,137,2
male,group A,associate's degree,free/reduced,completed,79,82,82,19,7755.0,163,7
female,group A,associate's degree,free/reduced,none,65,85,76,15,15270.0,72,2
female,group C,associate's degree,standard,none,64,64,70,12,28359.0,45,2
female,group C,some college,standard,none,83,83,90,18,29733.0,105,8
female,group C,bachelor's degree,standard,none,81,88,90,16,14691.0,159,3
female,group B,high school,standard,none,54,64,68,3,17514.0,31,6
male,group D,high school,standard,completed,68,64,66,11,16368.0,5,6
female,group C,some college,standard,none,54,48,52,8,20922.0,175,2
female,group D,some college,free/reduced,completed,59,78,76,18,21733.0,165,5
female,group B,some high school,standard,none,66,69,68,11,30768.0,144,2
male,group E,some college,standard,none,76,71,72,8,17010.0,73,2
female,group D,master's degree,standard,none,74,79,82,6,26548.0,113,5
female,group B,associate's degree,standard,completed,94,87,92,13,28382.0,26,4
male,group C,some college,free/reduced,none,63,61,54,19,24322.0,53,3
female,group E,associate's degree,standard,completed,95,89,92,18,19345.0,177,5
female,group D,master's degree,free/reduced,none,40,59,54,14,24109.0,162,8
female,group B,some high school,standard,none,82,82,80,15,32076.0,84,7
male,group A,high school,standard,none,68,70,66,20,33510.0,126,5
male,group B,bachelor's degree,free/reduced,none,55,59,54,4,54594.0,152,6
male,group C,master's degree,standard,none,79,78,77,2,13427.0,155,3
female,group C,bachelor's degree,standard,none,86,92,87,11,17677.0,110,5
male,group D,some college,standard,none,76,71,73,19,9831.0,14,8
male,group A,some high school,standard,none,64,50,43,20,35084.0,131,5
male,group D,some high school,free/reduced,none,62,49,52,3,18634.0,92,6
female,group B,some high school,standard,completed,54,61,62,20,24418.0,122,5
female,group B,master's degree,free/reduced,completed,77,97,94,15,16282.0,72,5
female,group C,some high school,standard,completed,76,87,85,6,18707.0,154,7
female,group D,some college,standard,none,74,89,84,12,40603.0,153,5
female,group E,some college,standard,completed,66,74,73,20,31167.0,146,4
female,group D,some high school,standard,completed,66,78,78,9,20832.0,91,7
female,group B,high school,free/reduced,completed,67,78,79,6,32335.0,16,6
male,group D,some college,standard,none,71,49,52,13,32694.0,42,9
female,group C,associate's degree,standard,none,91,86,84,4,18111.0,120,4
male,group D,bachelor's degree,standard,none,69,58,57,2,10567.0,40,1
male,group C,master's degree,free/reduced,none,54,59,50,10,14051.0,169,8
male,group C,high school,standard,completed,53,52,49,10,11268.0,177,5
male,group E,some college,standard,none,68,60,59,17,39427.0,167,6
male,group C,some high school,free/reduced,completed,56,61,60,14,43004.0,38,5
female,group C,high school,free/reduced,none,36,53,43,11,48688.0,112,6
female,group D,bachelor's degree,free/reduced,none,29,41,47,8,8024.0,150,8
female,group C,associate's degree,standard,none,62,74,70,9,37635.0,110,2
female,group C,associate's degree,standard,completed,68,67,73,11,66576.0,179,4
female,group C,some high school,standard,none,47,54,53,16,38407.0,46,1
male,group E,associate's degree,standard,completed,62,61,58,5,7513.0,62,6
female,group E,associate's degree,standard,completed,79,88,94,6,53324.0,109,8
male,group B,high school,standard,completed,73,69,68,13,22490.0,68,7
female,group C,bachelor's degree,free/reduced,completed,66,83,83,12,19610.0,42,6
male,group C,associate's degree,standard,completed,51,60,58,7,27599.0,175,4
female,group D,high school,standard,none,51,66,62,9,13036.0,33,3
male,group E,bachelor's degree,standard,completed,85,66,71,8,22057.0,39,6
male,group A,associate's degree,standard,completed,97,92,86,17,49524.0,60,6
male,group C,high school,standard,completed,75,69,68,1,30067.0,177,3
male,group D,associate's degree,free/reduced,completed,79,82,80,4,22679.0,61,1
female,group C,associate's degree,standard,none,81,77,79,4,23036.0,57,8
female,group D,associate's degree,standard,none,82,95,89,5,12201.0,160,2
female,group D,master's degree,standard,none,64,63,66,18,20435.0,74,5
male,group E,some high school,free/reduced,completed,78,83,80,7,9729.0,15,4
female,group A,some high school,standard,completed,92,100,97,15,36725.0,81,6
male,group C,high school,standard,completed,72,67,64,12,7385.0,93,4
female,group C,high school,free/reduced,none,62,67,64,0,33774.0,47,5
male,group C,master's degree,standard,none,79,72,69,19,35944.0,137,5
male,group C,some high school,free/reduced,none,79,76,65,16,42590.0,81,6
male,group B,bachelor's degree,free/reduced,completed,87,90,88,6,23004.0,37,3
female,group B,associate's degree,standard,none,40,48,50,12,34833.0,126,5
male,group D,some college,free/reduced,none,77,62,64,3,20336.0,18,5
male,group E,associate's degree,standard,none,53,45,40,3,12169.0,163,4
female,group C,some college,free/reduced,none,32,39,33,5,47352.0,62,4
female,group C,associate's degree,standard,completed,55,72,79,18,20985.0,76,4
male,group C,master's degree,free/reduced,none,61,67,66,11,10886.0,173,4
female,group B,associate's degree,free/reduced,none,53,70,70,6,17441.0,130,6
male,group D,some high school,standard,none,73,66,62,9,17789.0,101,6
female,group D,some college,standard,completed,74,75,79,18,27746.0,64,6
female,group C,some college,standard,none,63,74,74,6,71220.0,119,7
male,group C,bachelor's degree,standard,completed,96,90,92,2,28601.0,90,5
female,group D,some college,free/reduced,completed,63,80,80,12,24426.0,7,8
male,group B,bachelor's degree,free/reduced,none,48,51,46,12,75199.0,178,4
male,group B,associate's degree,standard,none,48,43,45,17,35934.0,72,5
female,group E,bachelor's degree,free/reduced,completed,92,100,100,19,25012.0,133,1
female,group D,master's degree,free/reduced,completed,61,71,78,7,17332.0,106,7
male,group B,high school,free/reduced,none,63,48,47,8,25799.0,88,5
male,group D,bachelor's degree,free/reduced,none,68,68,67,6,21307.0,38,9
male,group B,some college,standard,completed,71,75,70,0,23057.0,112,5
male,group A,bachelor's degree,standard,none,91,96,92,2,42498.0,27,8
female,group C,some college,standard,none,53,62,56,12,16812.0,96,9
female,group C,high school,free/reduced,completed,50,66,64,16,28475.0,36,5
female,group E,high school,standard,none,74,81,71,0,35400.0,136,9
male,group A,associate's degree,free/reduced,completed,40,55,53,5,15819.0,81,5
male,group A,some college,standard,completed,61,51,52,20,14599.0,55,6
female,group B,high school,standard,none,81,91,89,5,20431.0,84,3
female,group B,some college,free/reduced,completed,48,56,58,11,17487.0,1,5
female,group D,master's degree,standard,none,53,61,68,12,39190.0,57,5
female,group D,some high school,standard,none,81,97,96,12,13348.0,106,8
female,group E,some high school,standard,none,77,79,80,14,22794.0,122,7
female,group D,bachelor's degree,free/reduced,none,63,73,78,20,78671.0,167,8
female,group D,associate's degree,standard,completed,73,75,80,15,27079.0,163,12
female,group D,some college,standard,none,69,77,77,20,29426.0,113,2
female,group C,associate's degree,standard,none,65,76,76,10,39354.0,106,6
female,group A,high school,standard,none,55,73,73,4,17475.0,36,4
female,group C,bachelor's degree,free/reduced,none,44,63,62,3,12827.0,78,7
female,group C,some college,standard,none,54,64,65,2,24059.0,91,4
female,group A,some high school,standard,none,48,66,65,18,25152.0,17,4
male,group C,some college,free/reduced,none,58,57,54,19,9807.0,97,3
male,group A,some high school,standard,none,71,62,50,17,26570.0,62,6
male,group E,bachelor's degree,standard,none,68,68,64,14,37606.0,149,6
female,group E,high school,standard,none,74,76,73,8,13954.0,138,4
female,group C,bachelor's degree,standard,completed,92,100,99,16,27386.0,3,7
female,group C,bachelor's degree,standard,completed,56,79,72,13,34411.0,134,6
male,group B,high school,free/reduced,none,30,24,15,14,29535.0,60,6
male,group A,some high school,standard,none,53,54,48,0,30962.0,106,6
female,group D,high school,standard,none,69,77,73,20,19489.0,53,2
female,group D,some high school,standard,none,65,82,81,2,12535.0,87,4
female,group D,master's degree,standard,none,54,60,63,15,17614.0,67,2
female,group C,high school,standard,none,29,29,30,10,16432.0,128,4
female,group E,some college,standard,none,76,78,80,11,21160.0,54,4
male,group D,high school,free/reduced,none,60,57,51,9,38049.0,2,3
male,group D,master's degree,free/reduced,completed,84,89,90,15,11431.0,165,5
male,group C,some high school,standard,none,75,72,62,7,23674.0,120,6
female,group C,associate's degree,standard,none,85,84,82,5,12943.0,128,4
female,group C,master's degree,free/reduced,none,40,58,54,11,15214.0,101,4
female,group E,some college,standard,none,61,64,62,20,29126.0,37,2
female,group B,associate's degree,standard,none,58,63,65,7,12149.0,84,9
male,group D,some college,free/reduced,completed,69,60,63,3,31797.0,156,9
female,group C,some college,standard,none,58,59,66,7,11203.0,132,8
male,group C,bachelor's degree,standard,completed,94,90,91,17,30745.0,91,6
female,group C,associate's degree,standard,none,65,77,74,4,10150.0,20,8
female,group A,associate's degree,standard,none,82,93,93,8,16173.0,108,4
female,group C,high school,standard,none,60,68,72,3,56854.0,46,7
female,group E,bachelor's degree,standard,none,37,45,38,16,51755.0,83,6
male,group D,bachelor's degree,standard,none,88,78,83,8,17921.0,282,6
male,group D,master's degree,standard,none,95,81,84,0,26768.0,34,7
male,group C,associate's degree,free/reduced,completed,65,73,68,20,40217.0,68,2
female,group C,high school,free/reduced,none,35,61,54,19,30966.0,128,7
male,group B,bachelor's degree,free/reduced,none,62,63,56,12,19212.0,139,6
male,group C,high school,free/reduced,completed,58,51,52,15,15149.0,26,6
male,group A,some college,standard,completed,100,96,86,12,33998.0,55,6
female,group E,bachelor's degree,free/reduced,none,61,58,62,13,38768.0,22,5
male,group D,some college,standard,completed,100,97,99,2,51940.0,152,7
male,group B,associate's degree,free/reduced,completed,69,70,63,5,9475.0,20,5
male,group D,associate's degree,standard,none,61,48,46,17,11772.0,60,9
male,group D,some college,free/reduced,none,49,57,46,18,39378.0,62,6
female,group C,some high school,standard,completed,44,51,55,4,10140.0,121,5
male,group D,some college,standard,none,67,64,70,14,40916.0,51,3
male,group B,high school,standard,none,79,60,65,1,19782.0,87,10
female,group B,bachelor's degree,standard,completed,66,74,81,9,16976.0,152,3
female,group C,high school,standard,none,75,88,85,17,24409.0,54,4
male,group D,some high school,standard,none,84,84,80,12,11241.0,45,4
male,group A,high school,standard,none,71,74,64,4,33257.0,31,5
female,group B,high school,free/reduced,completed,67,80,81,0,51268.0,54,8
female,group D,some high school,standard,completed,80,92,88,0,34040.0,95,2
male,group E,some college,standard,none,86,76,74,17,19472.0,132,12
female,group D,associate's degree,standard,none,76,74,73,14,10209.0,35,4
male,group D,high school,standard,none,41,52,51,16,10407.0,109,2
female,group D,associate's degree,free/reduced,completed,74,88,90,10,11330.0,176,3
female,group B,some high school,free/reduced,none,72,81,79,20,21892.0,105,1
female,group E,high school,standard,completed,74,79,80,16,23311.0,57,8
male,group B,high school,standard,none,70,65,60,12,34004.0,38,8
female,group B,bachelor's degree,standard,completed,65,81,81,0,8973.0,79,6
female,group D,associate's degree,standard,none,59,70,65,1,42430.0,96,3
female,group E,high school,free/reduced,none,64,62,68,8,31170.0,112,5
female,group B,high school,standard,none,50,53,55,2,18706.0,60,5
female,group D,some college,standard,completed,69,79,81,0,12150.0,136,5
male,group C,some high school,free/reduced,completed,51,56,53,20,41133.0,5,3
female,group A,high school,standard,completed,68,80,76,15,18957.0,108,9
female,group D,some college,standard,completed,85,86,98,5,21807.0,34,6
female,group A,associate's degree,standard,completed,65,70,74,16,26684.0,38,7
female,group B,some high school,standard,none,73,79,79,4,13952.0,149,5
female,group B,some college,standard,none,62,67,67,4,19128.0,168,4
male,group C,associate's degree,free/reduced,none,77,67,64,5,33950.0,117,4
male,group D,some high school,standard,none,69,66,61,2,32275.0,4,3
female,group D,associate's degree,free/reduced,none,43,60,58,20,32421.0,169,11
male,group D,associate's degree,standard,none,90,87,85,4,12362.0,86,4
male,group C,some college,free/reduced,none,74,77,73,20,19569.0,75,6
male,group C,some high school,standard,none,73,66,63,4,18066.0,157,8
female,group D,some college,free/reduced,none,55,71,69,9,27244.0,56,4
female,group C,high school,standard,none,65,69,67,9,26051.0,126,10
male,group D,associate's degree,standard,none,80,63,63,18,23806.0,28,4
female,group C,some high school,free/reduced,completed,50,60,60,16,75574.0,164,6
female,group C,some college,free/reduced,completed,63,73,71,20,19046.0,86,6
female,group B,bachelor's degree,free/reduced,none,77,85,87,13,17963.0,140,5
male,group C,some college,standard,none,73,74,61,8,12353.0,159,4
male,group D,associate's degree,standard,completed,81,72,77,13,10210.0,45,7
female,group C,high school,free/reduced,none,66,76,68,0,11966.0,115,3
male,group D,associate's degree,free/reduced,none,52,57,50,18,15377.0,111,6
female,group C,some college,standard,none,69,78,76,12,42406.0,150,5
female,group C,associate's degree,standard,completed,65,84,84,12,22462.0,44,2
female,group D,high school,standard,completed,69,77,78,3,24262.0,144,5
female,group B,some college,standard,completed,50,64,66,0,20991.0,103,1
female,group E,some college,standard,completed,73,78,76,16,26440.0,84,3
female,group C,some high school,standard,completed,70,82,76,7,44402.0,133,6
male,group D,associate's degree,free/reduced,none,81,75,78,1,8128.0,107,6
male,group D,some college,free/reduced,none,63,61,60,7,40505.0,17,12
female,group D,high school,standard,none,67,72,74,6,6263.0,93,3
male,group B,high school,standard,none,60,68,60,1,22339.0,149,4
male,group B,high school,standard,none,62,55,54,2,65904.0,32,3
female,group C,some high school,free/reduced,completed,29,40,44,17,30956.0,157,4
male,group B,some college,standard,completed,62,66,68,11,26543.0,125,0
female,group E,master's degree,standard,completed,94,99,100,0,59932.0,159,7
male,group E,some college,standard,completed,85,75,68,11,15498.0,169,7
male,group D,associate's degree,free/reduced,none,77,78,73,4,27364.0,121,3
male,group A,high school,free/reduced,none,53,58,44,16,29409.0,137,4
male,group E,some college,free/reduced,none,93,90,83,15,16963.0,114,6
female,group C,associate's degree,standard,none,49,53,53,14,17729.0,163,4
female,group E,associate's degree,free/reduced,none,73,76,78,14,16783.0,161,3
female,group C,bachelor's degree,free/reduced,completed,66,74,81,4,23009.0,27,4
female,group D,associate's degree,standard,none,77,77,73,20,28951.0,10,7
female,group C,some high school,standard,none,49,63,56,13,23426.0,166,5
female,group D,some college,free/reduced,none,79,89,86,1,31405.0,46,4
female,group C,associate's degree,standard,completed,75,82,90,10,8229.0,126,11
female,group A,bachelor's degree,standard,none,59,72,70,18,19749.0,146,2
female,group D,associate's degree,standard,completed,57,78,79,6,13204.0,117,4
male,group C,high school,free/reduced,none,66,66,59,5,25613.0,142,5
female,group E,bachelor's degree,standard,completed,79,81,82,1,25424.0,125,4
female,group B,some high school,standard,none,57,67,72,5,20789.0,155,4
male,group A,bachelor's degree,standard,completed,87,84,87,17,28428.0,151,1
female,group D,some college,standard,none,63,64,67,1,36276.0,71,2
female,group B,some high school,free/reduced,completed,59,63,64,17,21370.0,106,9
male,group A,bachelor's degree,free/reduced,none,62,72,65,14,13019.0,136,6
male,group D,high school,standard,none,46,34,36,18,9990.0,174,7
male,group C,some college,standard,none,66,59,52,1,22428.0,32,6
male,group D,high school,standard,none,89,87,79,19,24858.0,18,4
female,group D,associate's degree,free/reduced,completed,42,61,58,5,13565.0,73,10
male,group C,some college,standard,completed,93,84,90,0,31662.0,167,3
female,group E,some high school,standard,completed,80,85,85,14,17510.0,174,9
female,group D,some college,standard,none,98,100,99,9,9622.0,156,0
male,group D,master's degree,standard,none,81,81,84,18,41283.0,177,8
female,group B,some high school,standard,completed,60,70,74,16,39026.0,97,7
female,group B,associate's degree,free/reduced,completed,76,94,87,4,8040.0,140,1
male,group C,associate's degree,standard,completed,73,78,72,3,16626.0,128,3
female,group C,associate's degree,standard,completed,96,96,99,9,16305.0,161,4
female,group C,high school,standard,none,76,76,74,16,49998.0,92,4
male,group E,associate's degree,free/reduced,completed,91,73,80,9,20960.0,175,5
female,group C,some college,free/reduced,none,62,72,70,16,10426.0,47,8
male,group D,some high school,free/reduced,completed,55,59,59,19,34237.0,176,8
female,group B,some high school,free/reduced,completed,74,90,88,4,11904.0,63,4
male,group C,high school,standard,none,50,48,42,1,19338.0,60,1
male,group B,some college,standard,none,47,43,41,5,14990.0,156,7
male,group E,some college,standard,completed,81,74,71,20,16643.0,38,3
female,group E,associate's degree,standard,completed,65,75,77,1,35194.0,127,2
male,group E,some high school,standard,completed,68,51,57,12,47130.0,87,7
female,group D,high school,free/reduced,none,73,92,84,10,11647.0,25,2
male,group C,some college,standard,none,53,39,37,10,30123.0,16,8
female,group B,associate's degree,free/reduced,completed,68,77,80,15,15270.0,70,6
male,group A,some high school,free/reduced,none,55,46,43,10,15509.0,12,4
female,group C,some college,standard,completed,87,89,94,18,28150.0,68,6
male,group D,some high school,standard,none,55,47,44,14,13175.0,25,5
female,group E,some college,free/reduced,none,53,58,57,15,27870.0,48,3
male,group C,master's degree,standard,none,67,57,59,10,31731.0,6,9
male,group C,associate's degree,standard,none,92,79,84,15,17743.0,57,5
female,group B,some college,free/reduced,completed,53,66,73,7,42768.0,48,5
male,group D,associate's degree,standard,none,81,71,73,3,11656.0,102,6
male,group C,high school,free/reduced,none,61,60,55,7,43161.0,52,5
male,group D,bachelor's degree,standard,none,80,73,72,3,8333.0,61,4
female,group A,associate's degree,free/reduced,none,37,57,56,2,84953.0,16,3
female,group C,high school,standard,none,81,84,82,2,17978.0,170,2
female,group C,associate's degree,standard,completed,59,73,72,17,12318.0,24,6
male,group B,some college,free/reduced,none,55,55,47,18,19607.0,130,3
male,group D,associate's degree,standard,none,72,79,74,18,13053.0,28,4
male,group D,high school,standard,none,69,75,71,20,26728.0,116,6
male,group C,some college,standard,none,69,64,68,4,43644.0,159,4
female,group C,bachelor's degree,free/reduced,none,50,60,59,17,13404.0,25,7
male,group B,some college,standard,completed,87,84,86,9,29428.0,123,9
male,group D,some high school,standard,completed,71,69,68,20,10236.0,143,10
male,group E,some college,standard,none,68,72,65,5,36919.0,24,7
male,group C,master's degree,free/reduced,completed,79,77,75,0,27122.0,53,6
female,group C,some high school,standard,completed,77,90,85,4,37726.0,155,5
male,group C,associate's degree,free/reduced,none,58,55,53,8,20719.0,72,4
female,group E,associate's degree,standard,none,84,95,92,11,17720.0,119,2
male,group D,some college,standard,none,55,58,52,13,33126.0,55,3
male,group E,bachelor's degree,free/reduced,completed,70,68,72,1,11453.0,64,4
female,group D,some college,free/reduced,completed,52,59,65,16,9215.0,92,10
male,group B,some college,standard,completed,69,77,77,13,21972.0,85,2
female,group C,high school,free/reduced,none,53,72,64,12,18128.0,79,1
female,group D,some high school,standard,none,48,58,54,8,29054.0,168,4
male,group D,some high school,standard,completed,78,81,86,14,38017.0,107,9
female,group B,high school,standard,none,62,62,63,14,28753.0,178,6
male,group D,some college,standard,none,60,63,59,10,36532.0,117,10
female,group B,high school,standard,none,74,72,72,15,25862.0,156,6
female,group C,high school,standard,completed,58,75,77,16,28206.0,82,4
male,group B,high school,standard,completed,76,62,60,3,20778.0,146,4
female,group D,some high school,standard,none,68,71,75,0,27793.0,168,9
male,group A,some college,free/reduced,none,58,60,57,7,23940.0,172,5
male,group B,high school,standard,none,52,48,49,16,25915.0,14,4
male,group D,bachelor's degree,standard,none,75,73,74,2,20265.0,130,2
female,group B,some high school,free/reduced,completed,52,67,72,19,33007.0,138,5
female,group C,bachelor's degree,free/reduced,none,62,78,79,14,15441.0,180,4
male,group B,some college,standard,none,66,65,60,14,21825.0,173,5
female,group B,some high school,free/reduced,none,49,58,55,13,42442.0,29,2
female,group B,high school,standard,none,66,72,70,13,13707.0,56,6
female,group C,some college,free/reduced,none,35,44,43,1,7473.0,145,5
female,group A,some college,standard,completed,72,79,82,12,26456.0,178,4
male,group E,associate's degree,standard,completed,94,85,82,13,19371.0,127,4
female,group D,associate's degree,free/reduced,none,46,56,57,18,36513.0,47,2
female,group B,master's degree,standard,none,77,90,84,6,20635.0,135,4
female,group B,high school,free/reduced,completed,76,85,82,2,16282.0,21,6
female,group C,associate's degree,standard,completed,52,59,62,14,21207.0,5,5
male,group C,bachelor's degree,standard,completed,91,81,79,13,38045.0,103,7
female,group B,some high school,standard,completed,32,51,44,10,29369.0,35,1
female,group E,some high school,free/reduced,none,72,79,77,14,6523.0,78,2
female,group B,some college,standard,none,19,38,32,12,24170.0,115,5
male,group C,associate's degree,free/reduced,none,68,65,61,17,24782.0,56,6
female,group C,master's degree,free/reduced,none,52,65,61,5,21826.0,48,8
female,group B,high school,standard,none,48,62,60,2,16229.0,172,5
female,group D,some college,free/reduced,none,60,66,70,18,40025.0,81,9
male,group D,high school,free/reduced,none,66,74,69,14,41028.0,65,1
male,group E,some high school,standard,completed,89,84,77,4,7320.0,76,3
female,group B,high school,standard,none,42,52,51,9,14780.0,44,5
female,group E,associate's degree,free/reduced,completed,57,68,73,6,20489.0,78,4
male,group D,high school,standard,none,70,70,70,16,35392.0,19,2
female,group E,associate's degree,free/reduced,none,70,84,81,6,22414.0,122,4
male,group E,some college,standard,none,69,60,54,11,15650.0,66,2
female,group C,associate's degree,standard,none,52,55,57,16,31406.0,82,3
male,group C,some high school,standard,completed,67,73,68,12,19818.0,2,9
male,group C,some high school,standard,completed,76,80,73,19,20771.0,63,5
female,group E,associate's degree,standard,none,87,94,95,3,21729.0,39,2
female,group B,some college,standard,none,82,85,87,9,29353.0,58,6
female,group C,some college,standard,none,73,76,78,2,18877.0,61,6
male,group A,some college,free/reduced,none,75,81,74,8,31054.0,131,6
female,group D,some college,free/reduced,none,64,74,75,12,21236.0,59,4
female,group E,high school,free/reduced,none,41,45,40,17,12919.0,115,8
male,group C,high school,standard,none,90,75,69,14,21625.0,74,5
male,group B,bachelor's degree,standard,none,59,54,51,3,13258.0,121,8
male,group A,some high school,standard,none,51,31,36,14,22483.0,106,9
male,group A,high school,free/reduced,none,45,47,49,1,33347.0,95,5
female,group C,master's degree,standard,completed,54,64,67,14,12877.0,90,6
male,group E,some high school,standard,completed,87,84,76,7,26427.0,157,6
female,group C,high school,standard,none,72,80,83,7,14552.0,129,6
male,group B,some high school,standard,completed,94,86,87,16,24364.0,61,6
female,group A,bachelor's degree,standard,none,45,59,64,11,33864.0,48,2
male,group D,bachelor's degree,free/reduced,completed,61,70,76,18,7595.0,136,2
female,group B,high school,free/reduced,none,60,72,68,9,12617.0,91,6
female,group C,some high school,standard,none,77,91,88,8,18316.0,158,8
female,group A,some high school,standard,completed,85,90,92,4,25784.0,123,6
female,group D,bachelor's degree,free/reduced,none,78,90,93,5,20268.0,60,8
male,group E,some college,free/reduced,completed,49,52,51,19,21527.0,47,5
female,group B,high school,free/reduced,none,71,87,82,1,61175.0,152,6
female,group C,some high school,free/reduced,none,48,58,52,12,12013.0,163,8
male,group C,high school,standard,none,62,67,58,5,38861.0,135,2
female,group C,associate's degree,free/reduced,completed,56,68,70,4,18490.0,57,8
female,group C,some high school,standard,none,65,69,76,0,28991.0,100,2
female,group D,some high school,free/reduced,completed,69,86,81,20,63862.0,111,8
male,group B,some high school,standard,none,68,54,53,20,31081.0,172,3
female,group A,some college,free/reduced,none,61,60,57,5,26536.0,61,9
female,group C,bachelor's degree,free/reduced,completed,74,86,89,5,48999.0,38,7
male,group A,bachelor's degree,standard,none,64,60,58,15,38654.0,57,7
female,group B,high school,standard,completed,77,82,89,3,14769.0,98,4
male,group B,some college,standard,none,58,50,45,10,25521.0,43,8
female,group C,high school,standard,completed,60,64,74,8,9332.0,28,3
male,group E,high school,standard,none,73,64,57,2,16813.0,58,5
female,group A,high school,standard,completed,75,82,79,18,25772.0,70,3
male,group B,associate's degree,free/reduced,completed,58,57,53,7,16300.0,91,4
female,group C,associate's degree,standard,none,66,77,73,4,25253.0,8,2
female,group D,high school,free/reduced,none,39,52,46,3,21880.0,126,2
male,group C,some high school,standard,none,64,58,51,5,28802.0,133,5
female,group B,high school,free/reduced,completed,23,44,36,1,17817.0,156,9
